local.time,fcs.file,label,Volume,i,n,fsc,chl,ssc,green,conc,duplicate,exp,lat,long
10/31/11 12:00,francois.20120209.A.0013.fcs,TC2 1200 A,159.3,prochloro,45858,21801,20778,18003,19543,287.8719397,A,TC2,26.1,147.2
10/31/11 12:00,francois.20120209.A.0015.fcs,TC2 1200 B,162.5,beads,9946,62714,39640,46005,52680,61.20615385,B,TC2,26.1,147.2
10/31/11 12:00,francois.20120209.A.0015.fcs,TC2 1200 B,162.5,synecho,1852,35650,27881,28650,27172,11.39692308,B,TC2,26.1,147.2
10/31/11 12:00,francois.20120209.A.0015.fcs,TC2 1200 B,162.5,prochloro,48633,22163,21588,18308,19560,299.28,B,TC2,26.1,147.2
10/31/11 14:00,francois.20120209.A.0016.fcs,TC2 1400 B,161.1,synecho,1101,38954,32321,30552,28190,6.834264432,B,TC2,25.96,147.68
10/31/11 14:00,francois.20120209.A.0016.fcs,TC2 1400 B,161.1,beads,10481,62673,39785,46000,52644,65.05896958,B,TC2,25.96,147.68
10/31/11 14:00,francois.20120208.A.0006.fcs,TC2 1400 C,124.8,heteroBact,52613,28659,20857,34800,26392,421.5785256,C,TC2,25.96,147.68
10/31/11 14:00,francois.20120209.A.0016.fcs,TC2 1400 B,161.1,prochloro,51716,23248,21478,18396,19821,321.0180012,B,TC2,25.96,147.68
10/31/11 14:00,francois.20120209.A.0016.fcs,TC2 1400 B,161.1,heteroBact,70928,11071,14291,15444,13491,440.2731223,B,TC2,25.96,147.68
10/31/11 14:00,francois.20120208.A.0005.fcs,TC2 1400 A,126.4,synecho,1010,52064,34284,47076,40240,7.990506329,A,TC2,25.96,147.68
10/31/11 14:00,francois.20120208.A.0005.fcs,TC2 1400 A,126.4,prochloro,35381,41012,27790,37829,32849,279.9129747,A,TC2,25.96,147.68
10/31/11 14:00,francois.20120208.A.0005.fcs,TC2 1400 A,126.4,heteroBact,51723,28866,21043,35042,26617,409.2009494,A,TC2,25.96,147.68
10/31/11 14:00,francois.20120208.A.0005.fcs,TC2 1400 A,126.4,beads,7259,65500,47274,64547,65535,57.42879747,A,TC2,25.96,147.68
10/31/11 14:00,francois.20120208.A.0006.fcs,TC2 1400 C,124.8,synecho,752,53142,34724,47368,40712,6.025641026,C,TC2,25.96,147.68
