file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2013_120/231.evt,2842,1989632,1908106,227,1121,448,359,0,-10000,-44029,-10000,-42498,2500,-10000
2013_120/231.evt,7460,1989632,1908106,280,5482,499,421,0,-7500,-41529,-7500,-39998,2500,-7500
2013_120/231.evt,16407,1989632,1908106,312,14237,547,458,0,-5000,-39029,-5000,-37498,2500,-5000
2013_120/231.evt,25360,1989632,1908106,325,23032,592,485,0,-2500,-36529,-2500,-34998,2500,-2500
2013_120/231.evt,33103,1989632,1908106,339,30580,643,512,0,0,-34029,0,-32498,2500,0
2013_120/231.evt,325840,1989632,1908106,351,244336,692,532,0,2500,-31529,2500,-29998,2500,2500
2013_120/231.evt,378367,1989632,1908106,362,283205,723,551,0,5000,-29029,5000,-27498,2500,5000
2013_120/231.evt,413020,1989632,1908106,371,309200,763,572,0,7500,-26529,7500,-24998,2500,7500
2013_120/231.evt,442515,1989632,1908106,381,331658,793,599,0,10000,-24029,10000,-22498,2500,10000
2013_121/286.evt,518595,2904514,2798552,71,45478,588,241,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_121/286.evt,4794,2904514,2798552,21,3629,426,73,0,-10000,-44029,-10000,-42498,2500,-10000
2013_121/286.evt,12075,2904514,2798552,32,10801,448,99,0,-7500,-41529,-7500,-39998,2500,-7500
2013_121/286.evt,23331,2904514,2798552,46,21955,475,121,0,-5000,-39029,-5000,-37498,2500,-5000
2013_121/286.evt,33913,2904514,2798552,52,32452,488,147,0,-2500,-36529,-2500,-34998,2500,-2500
2013_121/286.evt,44110,2904514,2798552,56,40623,507,172,0,0,-34029,0,-32498,2500,0
2013_121/286.evt,494354,2904514,2798552,61,43429,538,198,0,2500,-31529,2500,-29998,2500,2500
2013_121/286.evt,515363,2904514,2798552,70,45165,581,232,0,5000,-29029,5000,-27498,2500,5000
2013_121/286.evt,528304,2904514,2798552,79,46568,628,271,0,7500,-26529,7500,-24998,2500,7500
2013_121/286.evt,537092,2904514,2798552,88,47846,660,311,0,10000,-24029,10000,-22498,2500,10000
2013_124/409.evt,81340,531793,515906,65,4125,14,42,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_124/409.evt,1107,531793,515906,30,877,4,24,0,-10000,-44029,-10000,-42498,2500,-10000
2013_124/409.evt,1771,531793,515906,36,1514,4,27,0,-7500,-41529,-7500,-39998,2500,-7500
2013_124/409.evt,2469,531793,515906,46,2178,6,32,0,-5000,-39029,-5000,-37498,2500,-5000
2013_124/409.evt,3163,531793,515906,50,2830,7,38,0,-2500,-36529,-2500,-34998,2500,-2500
2013_124/409.evt,4057,531793,515906,57,3360,8,40,0,0,-34029,0,-32498,2500,0
2013_124/409.evt,72039,531793,515906,60,3679,13,40,0,2500,-31529,2500,-29998,2500,2500
2013_124/409.evt,80149,531793,515906,64,4045,13,41,0,5000,-29029,5000,-27498,2500,5000
2013_124/409.evt,85557,531793,515906,67,4477,15,43,0,7500,-26529,7500,-24998,2500,7500
2013_124/409.evt,90152,531793,515906,70,5051,16,47,0,10000,-24029,10000,-22498,2500,10000
